"","Iteration","Combo","CV_S_L","CV_C_L","CV_S_R","CV_C_R","phi_S_L2R","phi_C_L2R","phi_S2C_L","phi_S2C_R","mean_metacom","sd_metacom","combo_type","cv_diff","taxa"
"1","Iteration_1","Glacier-fed_Glacier-fed_Glacier-fed",1.42470590055196,0.908540878796344,1.39962583778446,0.897880699452806,0.98239632280755,0.988266703686838,0.637704159465023,0.641514807181687,2280.60327830875,2047.70966670222,"Homogenous",0.0106601793435377,"inverts"
"2","Iteration_1","Glacier-fed_Glacier-fed_Rain-fed",1.19630106573301,0.736096516800191,1.10062558575033,0.719218660381575,0.92002391143566,0.977071136687368,0.615310424679061,0.653463511745695,7044.5588557641,5066.57818322182,"2:1",0.0168778564186161,"inverts"
"3","Iteration_1","Glacier-fed_Glacier-fed_Snow-fed",1.10670411156815,0.784870969003353,0.982102152046007,0.725663922778835,0.887411677412507,0.924564611811671,0.709196758916191,0.738888435655154,6785.9087658595,4924.28917465289,"2:1",0.0592070462245181,"inverts"
"4","Iteration_1","Glacier-fed_Rain-fed_Rain-fed",1.08941731770895,0.659438503133162,1.05247669908796,0.650768185011428,0.966091397648536,0.986851968636137,0.60531303515531,0.618320752920574,12639.9716591864,8225.69141524463,"2:1",0.0086703181217338,"inverts"
"5","Iteration_1","Glacier-fed_Rain-fed_Snow-fed",1.02424204603605,0.631958449054291,0.833308405620999,0.475588315944122,0.813585430168592,0.752562635495779,0.617001080457545,0.570723051317001,11679.1688338409,5554.47623731347,"Heterogenous",0.156370133110169,"inverts"
"6","Iteration_1","Glacier-fed_Snow-fed_Snow-fed",1.0630129400597,0.811791495502802,1.00382611713622,0.782954513323685,0.944321634579389,0.964477353681493,0.763670379644872,0.779970255762372,12790.923966721,10014.7116493243,"2:1",0.0288369821791177,"inverts"
"7","Iteration_1","Rain-fed_Rain-fed_Rain-fed",1.00338416070768,0.541913642363717,0.979588282583332,0.531483032614405,0.97628437934722,0.980752265796786,0.540085904865698,0.542557564299155,16910.2856882352,8987.52991995921,"Homogenous",0.0104306097493124,"inverts"
"8","Iteration_1","Rain-fed_Rain-fed_Snow-fed",1.00701388948326,0.613509819182142,0.902750758576531,0.515027816038632,0.896463065707835,0.839477706689692,0.609236700297114,0.570509424828105,16831.4193277942,8668.64913722425,"2:1",0.09848200314351,"inverts"
"9","Iteration_1","Rain-fed_Snow-fed_Snow-fed",1.00290114908963,0.604791190112833,0.832131484589519,0.475665620885147,0.829724330603144,0.786495618093253,0.603041676302618,0.571623150540671,15746.1997475999,7489.92587952363,"2:1",0.129125569227686,"inverts"
"10","Iteration_1","Snow-fed_Snow-fed_Snow-fed",1.02357558196932,0.769623562030009,0.983040459897413,0.757084063381692,0.960398506191484,0.983706971476754,0.751897149157548,0.770145374749579,17930.8038981493,13575.1258749111,"Homogenous",0.0125394986483174,"inverts"
"11","Iteration_2","Glacier-fed_Glacier-fed_Glacier-fed",1.48311548113489,0.874871331362559,1.42660756987946,0.831546625882016,0.961899183189572,0.950478768788701,0.589887532353921,0.582883929287069,2343.45386668425,1948.69115575145,"Homogenous",0.0433247054805426,"inverts"
"12","Iteration_2","Glacier-fed_Glacier-fed_Rain-fed",1.08120761840314,0.584744560492191,0.9755492220805,0.560258772235137,0.902277421538438,0.958125667323107,0.54082541645037,0.57430087539848,7416.79007435775,4155.32170098542,"2:1",0.0244857882570534,"inverts"
"13","Iteration_2","Glacier-fed_Glacier-fed_Snow-fed",1.09385224229254,0.740304988756303,0.959631387057463,0.636959680145845,0.877295259774968,0.860401712564336,0.676787010286457,0.663754529850224,7259.03376706813,4623.7118264396,"2:1",0.103345308610458,"inverts"
"14","Iteration_2","Glacier-fed_Rain-fed_Rain-fed",1.17262912592852,0.678282913840941,1.13061351174442,0.67285906628994,0.964169733417777,0.992003561581278,0.578429188601176,0.595127388183948,12240.4909579139,8236.12531687243,"2:1",0.00542384755100045,"inverts"
"15","Iteration_2","Glacier-fed_Rain-fed_Snow-fed",0.985899932584009,0.588327779864688,0.795388547335852,0.453128857995212,0.806763973754584,0.770197963624001,0.596741880611252,0.569694974252476,11467.4507508067,5196.23286282936,"Heterogenous",0.135198921869476,"inverts"
"16","Iteration_2","Glacier-fed_Snow-fed_Snow-fed",1.03482239350548,0.731436017986305,0.961598245715155,0.693769786301937,0.92923988865154,0.948503723144417,0.706822757776385,0.721475719608837,12302.1155632144,8534.83608535297,"2:1",0.037666231684368,"inverts"
"17","Iteration_2","Rain-fed_Rain-fed_Rain-fed",1.07121898876634,0.60270411963248,1.04768091509176,0.592849527187178,0.978026833055228,0.983649369360025,0.562633902080639,0.56586840386918,17239.054244128,10220.1651577854,"Homogenous",0.00985459244530207,"inverts"
"18","Iteration_2","Rain-fed_Rain-fed_Snow-fed",1.03942992141044,0.585807221498374,0.869040234972045,0.428292213859521,0.836073906543705,0.731114602452386,0.56358510509633,0.492833584250904,16024.5573945788,6863.1931626431,"2:1",0.157515007638854,"inverts"
