"","Iteration","Combo","CV_S_L","CV_C_L","CV_S_R","CV_C_R","phi_S_L2R","phi_C_L2R","phi_S2C_L","phi_S2C_R","combo_type","cv_diff","taxa"
"1","Iteration_1","Glacier-fed_Glacier-fed_Glacier-fed",1.22330984317582,1.22330984317582,1.21382733572621,1.21382733572621,0.992248482669771,0.992248482669771,1,1,"Homogenous",0.00948250744961743,"Periphyton"
"2","Iteration_1","Glacier-fed_Glacier-fed_Rain-fed",1.0759440227439,1.0759440227439,0.699176402752375,0.699176402752375,0.649826002071481,0.649826002071481,1,1,"2:1",0.376767619991524,"Periphyton"
"3","Iteration_1","Glacier-fed_Glacier-fed_Snow-fed",0.939370533056667,0.939370533056667,0.618355293449664,0.618355293449664,0.658265584973765,0.658265584973765,1,1,"2:1",0.321015239607003,"Periphyton"
"4","Iteration_1","Glacier-fed_Rain-fed_Rain-fed",0.744492069260566,0.744492069260566,0.53559861570085,0.53559861570085,0.719414803481801,0.719414803481801,1,1,"2:1",0.208893453559717,"Periphyton"
"5","Iteration_1","Glacier-fed_Rain-fed_Snow-fed",0.678877671001731,0.678877671001731,0.418061442262412,0.418061442262412,0.615812627399474,0.615812627399474,1,1,"Heterogenous",0.260816228739319,"Periphyton"
"6","Iteration_1","Glacier-fed_Snow-fed_Snow-fed",0.632194999464022,0.632194999464022,0.44432571623068,0.44432571623068,0.702830165704223,0.702830165704223,1,1,"2:1",0.187869283233342,"Periphyton"
"7","Iteration_1","Rain-fed_Rain-fed_Rain-fed",0.77454679966076,0.77454679966076,0.755280849124118,0.755280849124118,0.97512616339635,0.97512616339635,1,1,"Homogenous",0.0192659505366422,"Periphyton"
"8","Iteration_1","Rain-fed_Rain-fed_Snow-fed",0.795388128915298,0.795388128915298,0.704702116142266,0.704702116142266,0.885985207125603,0.885985207125603,1,1,"2:1",0.0906860127730319,"Periphyton"
"9","Iteration_1","Rain-fed_Snow-fed_Snow-fed",0.692041283842234,0.692041283842234,0.504598745159847,0.504598745159847,0.729145438200304,0.729145438200304,1,1,"2:1",0.187442538682387,"Periphyton"
"10","Iteration_1","Snow-fed_Snow-fed_Snow-fed",0.570867442608934,0.570867442608934,0.483185588231895,0.483185588231895,0.846405929235827,0.846405929235827,1,1,"Homogenous",0.0876818543770392,"Periphyton"
"11","Iteration_2","Glacier-fed_Glacier-fed_Glacier-fed",1.18216846175199,1.18216846175199,1.17965793908064,1.17965793908064,0.997876341018575,0.997876341018575,1,1,"Homogenous",0.00251052267135665,"Periphyton"
"12","Iteration_2","Glacier-fed_Glacier-fed_Rain-fed",1.01909249993086,1.01909249993086,0.621494994987104,0.621494994987104,0.609851407040349,0.609851407040349,1,1,"2:1",0.397597504943759,"Periphyton"
"13","Iteration_2","Glacier-fed_Glacier-fed_Snow-fed",0.882525761329182,0.882525761329182,0.586177705113952,0.586177705113952,0.664204639455627,0.664204639455627,1,1,"2:1",0.29634805621523,"Periphyton"
"14","Iteration_2","Glacier-fed_Rain-fed_Rain-fed",0.887289401629679,0.887289401629679,0.651580011585279,0.651580011585279,0.734348917487943,0.734348917487943,1,1,"2:1",0.2357093900444,"Periphyton"
"15","Iteration_2","Glacier-fed_Rain-fed_Snow-fed",0.831500622311322,0.831500622311322,0.49052016512069,0.49052016512069,0.589921585094177,0.589921585094177,1,1,"Heterogenous",0.340980457190632,"Periphyton"
"16","Iteration_2","Glacier-fed_Snow-fed_Snow-fed",0.804608899301313,0.804608899301313,0.556484002175082,0.556484002175082,0.691620491220403,0.691620491220403,1,1,"2:1",0.248124897126231,"Periphyton"
"17","Iteration_2","Rain-fed_Rain-fed_Rain-fed",0.747583789597829,0.747583789597829,0.725175455717233,0.725175455717233,0.970025655729305,0.970025655729305,1,1,"Homogenous",0.022408333880596,"Periphyton"
"18","Iteration_2","Rain-fed_Rain-fed_Snow-fed",0.799567586323923,0.799567586323923,0.686239436845501,0.686239436845501,0.858263201989643,0.858263201989643,1,1,"2:1",0.113328149478423,"Periphyton"
"19","Iteration_2","Rain-fed_Snow-fed_Snow-fed",0.587894675080616,0.587894675080616,0.475652940947137,0.475652940947137,0.80907849842646,0.80907849842646,1,1,"2:1",0.11224173413348,"Periphyton"
"20","Iteration_2","Snow-fed_Snow-fed_Snow-fed",0.739669172841382,0.739669172841382,0.708064984314467,0.708064984314467,0.957272535226107,0.957272535226107,1,1,"Homogenous",0.0316041885269145,"Periphyton"
"21","Iteration_3","Glacier-fed_Glacier-fed_Glacier-fed",1.18120057138638,1.18120057138638,1.17966533879947,1.17966533879947,0.998700277815552,0.998700277815552,1,1,"Homogenous",0.00153523258691335,"Periphyton"
"22","Iteration_3","Glacier-fed_Glacier-fed_Rain-fed",0.99103865839572,0.99103865839572,0.626040590238916,0.626040590238916,0.63170148302019,0.63170148302019,1,1,"2:1",0.364998068156805,"Periphyton"
